Id Lon Lat heading curvature mode SpeedMode EventMode OppositeSideMode LaneNum LaneSeq LaneWidth
1 120.779245542 31.5911448552 -2.63344597816 0.00182188395411 10 3 0 0 3 2 3.5
2 120.779240908 31.5911425355 -2.63400292397 -0.00176409806591 10 3 0 0 3 2 3.5
3 120.779236338 31.5911402318 -2.63489294052 0.00966316275299 10 3 0 0 3 2 3.5
4 120.779231671 31.5911378868 -2.63514399529 -0.00074017932639 10 3 0 0 3 2 3.5
5 120.779227112 31.5911355897 -2.63538503647 0.00337965786457 10 3 0 0 3 2 3.5
6 120.779222536 31.5911332617 -2.6357448101 -0.0013842334738 10 3 0 0 3 2 3.5
7 120.779217899 31.5911309204 -2.63578081131 0.00815617479384 10 3 0 0 3 2 3.5
8 120.779213322 31.5911286099 -2.6369600296 -0.00759906554595 10 3 0 0 3 2 3.5
9 120.779208625 31.5911262395 -2.63702702522 0.00349214603193 10 3 0 0 3 2 3.5
10 120.779204053 31.5911239735 -2.63865995407 -0.00013137726637 10 3 0 0 3 2 3.5
11 120.779199424 31.59112167 -2.64068984985 0.00563975982368 10 3 0 0 3 2 3.5
12 120.779194596 31.5911193553 -2.64432001114 0.00669408263639 10 3 0 0 3 2 3.5
13 120.779189914 31.59111718 -2.64918899536 0.0114750927314 10 3 0 0 3 2 3.5
14 120.779185187 31.5911150429 -2.65637993813 0.0172985177487 10 3 0 0 3 2 3.5
15 120.779180303 31.5911129776 -2.66673088074 0.024261938408 10 3 0 0 3 2 3.5
16 120.779175471 31.5911110219 -2.67845702171 0.0266561824828 10 3 0 0 3 2 3.5
17 120.779170471 31.591109069 -2.69145703316 0.0337905436754 10 3 0 0 3 2 3.5
18 120.779165383 31.5911071957 -2.70708584785 0.0296905655414 10 3 0 0 3 2 3.5
19 120.779160348 31.5911054632 -2.72396183014 0.0335433296859 10 3 0 0 3 2 3.5
20 120.779155382 31.5911039009 -2.74320983887 0.0367886759341 10 3 0 0 3 2 3.5
21 120.779150121 31.5911024184 -2.7670609951 0.0537750944495 10 3 0 0 3 2 3.5
22 120.779145017 31.5911011956 -2.79427599907 0.0611928477883 10 3 0 0 3 2 3.5
23 120.779139758 31.5911001438 -2.82545781136 0.06475661695 10 3 0 0 3 2 3.5
24 120.779134528 31.5910993331 -2.86002087593 0.0738331675529 10 3 0 0 3 2 3.5
25 120.779129187 31.5910987591 -2.89957594872 0.0801322087646 10 3 0 0 3 2 3.5
26 120.779123772 31.5910984532 -2.94377803802 0.0913901478052 10 3 0 0 3 2 3.5
27 120.779118447 31.591098444 -2.99102902412 0.0987984016538 10 3 0 0 3 2 3.5
28 120.779113105 31.5910986394 -3.03932881355 0.0963278263807 10 3 0 0 3 2 3.5
29 120.779107784 31.5910990375 -3.08694791794 0.0951117947698 10 3 0 0 3 2 3.5
30 120.779102417 31.5910995774 -3.13116884232 0.086853608489 10 3 0 0 3 2 3.5
31 120.779097116 31.5911001479 3.11515641212 0.0695794895291 10 3 0 0 3 2 3.5
32 120.779091823 31.5911007692 3.08315229416 0.0585163272917 10 3 0 0 3 2 3.5
33 120.77908658 31.5911014733 3.05454349518 0.0551468506455 10 3 0 0 3 2 3.5
34 120.779081185 31.5911022282 3.029276371 0.0430414937437 10 3 0 0 3 2 3.5
35 120.779075884 31.5911030146 3.00914335251 0.0350403003395 10 3 0 0 3 2 3.5
36 120.779070612 31.5911038791 2.99071741104 0.0318244099617 10 3 0 0 3 2 3.5
37 120.779065456 31.591104811 2.97382736206 0.0328231267631 10 3 0 0 3 2 3.5
38 120.779060224 31.5911058144 2.95767641068 0.0350454188883 10 3 0 0 3 2 3.5
39 120.779055049 31.5911068938 2.94169044495 0.0299540646374 10 3 0 0 3 2 3.5
40 120.779049909 31.5911079917 2.92930746078 0.00757809681818 10 3 0 0 3 2 3.5
41 120.779044686 31.5911087284 2.93650245667 -0.0267186593264 10 3 0 0 3 2 3.5
42 120.779039427 31.5911093135 2.94729733467 -0.0176882967353 10 3 0 0 3 2 3.5
43 120.779034071 31.5911099643 2.95366334915 -0.0144175421447 10 3 0 0 3 2 3.5
44 120.779028626 31.5911105554 2.96205949783 -0.0206798985601 10 3 0 0 3 2 3.5
45 120.779023388 31.5911110413 2.97188639641 -0.025125734508 10 3 0 0 3 2 3.5
46 120.779017986 31.5911113863 2.98735141754 -0.0320599116385 10 3 0 0 3 2 3.5
47 120.779012698 31.5911116116 3.00436449051 -0.0322488956153 10 3 0 0 3 2 3.5
48 120.779007358 31.5911117629 3.0218193531 -0.0297275781632 10 3 0 0 3 2 3.5
49 120.779001919 31.5911118113 3.03991246223 -0.0368500351906 10 3 0 0 3 2 3.5
50 120.778996625 31.5911117812 3.05776429176 -0.0468495450914 10 3 0 0 3 2 3.5
51 120.778991303 31.5911116056 3.07869029045 -0.0426021441817 10 3 0 0 3 2 3.5
52 120.77898599 31.5911113062 3.10186243057 -0.0498356409371 10 3 0 0 3 2 3.5
53 120.778980709 31.5911108752 3.12656140327 -0.0569320395589 10 3 0 0 3 2 3.5
54 120.778975451 31.5911103092 -3.12995791435 -0.051305256784 10 3 0 0 3 2 3.5
55 120.778970195 31.5911095718 -3.10083389282 -0.0640854537487 10 3 0 0 3 2 3.5
56 120.778965028 31.591108641 -3.0692179203 -0.0753377899528 10 3 0 0 3 2 3.5
57 120.778959865 31.5911075291 -3.03527283669 -0.0703959316015 10 3 0 0 3 2 3.5
58 120.778954616 31.5911062042 -2.99941492081 -0.068784430623 10 3 0 0 3 2 3.5
59 120.77894952 31.5911047162 -2.96393084526 -0.0703423693776 10 3 0 0 3 2 3.5
60 120.778944568 31.5911031563 -2.93124985695 -0.0724481716752 10 3 0 0 3 2 3.5
61 120.778939503 31.5911013987 -2.89712882042 -0.0664687529206 10 3 0 0 3 2 3.5
62 120.778934488 31.5910994572 -2.86208295822 -0.0702068954706 10 3 0 0 3 2 3.5
63 120.778929754 31.5910974479 -2.82797002792 -0.0696851238608 10 3 0 0 3 2 3.5
64 120.778924941 31.5910951852 -2.79108381271 -0.0743924826384 10 3 0 0 3 2 3.5
65 120.778920206 31.5910927494 -2.75437688828 -0.0711154490709 10 3 0 0 3 2 3.5
66 120.778915665 31.5910902115 -2.71764183044 -0.0719932243228 10 3 0 0 3 2 3.5
67 120.778911366 31.5910875929 -2.68090081215 -0.0754703879356 10 3 0 0 3 2 3.5
68 120.778907006 31.5910846997 -2.64172196388 -0.0765633806586 10 3 0 0 3 2 3.5
69 120.778902939 31.5910817606 -2.60296392441 -0.0771506428719 10 3 0 0 3 2 3.5
70 120.778898966 31.5910786485 -2.5633149147 -0.0818591713905 10 3 0 0 3 2 3.5
71 120.778895189 31.5910754008 -2.52214694023 -0.0816519707441 10 3 0 0 3 2 3.5
72 120.778891591 31.5910719218 -2.47751092911 -0.0910427644849 10 3 0 0 3 2 3.5
73 120.778888179 31.5910682692 -2.43117284775 -0.0915958657861 10 3 0 0 3 2 3.5
74 120.778884996 31.5910644397 -2.38271689415 -0.100314244628 10 3 0 0 3 2 3.5
75 120.778882051 31.5910604464 -2.33226084709 -0.100988805294 10 3 0 0 3 2 3.5
76 120.778879338 31.5910563873 -2.28281402588 -0.0906344652176 10 3 0 0 3 2 3.5
77 120.77887696 31.5910522764 -2.23260092735 -0.103949539363 10 3 0 0 3 2 3.5
78 120.778874889 31.5910480726 -2.18041300774 -0.106686756015 10 3 0 0 3 2 3.5
79 120.778873037 31.5910436334 -2.12590193748 -0.104478418827 10 3 0 0 3 2 3.5
80 120.77887148 31.5910390955 -2.07053494453 -0.111929312348 10 3 0 0 3 2 3.5
81 120.778870209 31.5910344967 -2.01553893089 -0.102798968554 10 3 0 0 3 2 3.5
82 120.778869178 31.5910298863 -1.96278095245 -0.0977479293943 10 3 0 0 3 2 3.5
83 120.77886842 31.5910252832 -1.91145789623 -0.101235359907 10 3 0 0 3 2 3.5
84 120.778867867 31.591020585 -1.8623418808 -0.0892388895154 10 3 0 0 3 2 3.5
85 120.778867513 31.5910159274 -1.8153488636 -0.0921695977449 10 3 0 0 3 2 3.5
86 120.778867402 31.5910113529 -1.76948297024 -0.091572612524 10 3 0 0 3 2 3.5
87 120.778867511 31.5910067525 -1.7247838974 -0.0889470875263 10 3 0 0 3 2 3.5
88 120.778867825 31.5910022441 -1.68194997311 -0.0844231545925 10 3 0 0 3 2 3.5
89 120.778868371 31.590997619 -1.63771390915 -0.0864791721106 10 3 0 0 3 2 3.5
90 120.778869104 31.5909930457 -1.59525859356 -0.0829028263688 10 3 0 0 3 2 3.5
91 120.778870122 31.5909884116 -1.5517885685 -0.0886923000217 10 3 0 0 3 2 3.5
92 120.778871342 31.5909839335 -1.50897657871 -0.086610712111 10 3 0 0 3 2 3.5
93 120.778872807 31.5909794981 -1.46606361866 -0.0798895582557 10 3 0 0 3 2 3.5
94 120.778874527 31.5909749927 -1.42251265049 -0.0839212536812 10 3 0 0 3 2 3.5
95 120.778876409 31.5909706774 -1.3810325861 -0.0837042033672 10 3 0 0 3 2 3.5
96 120.778878498 31.5909664532 -1.33964157104 -0.087679669261 10 3 0 0 3 2 3.5
97 120.778880783 31.5909622965 -1.29783463478 -0.082910105586 10 3 0 0 3 2 3.5
98 120.778883346 31.5909581263 -1.25545358658 -0.0831557437777 10 3 0 0 3 2 3.5
99 120.778886019 31.5909541978 -1.21444356441 -0.0814750939608 10 3 0 0 3 2 3.5
100 120.77888894 31.5909501733 -1.17281162739 -0.082767508924 10 3 0 0 3 2 3.5
101 120.778891942 31.5909463712 -1.1335695982 -0.0795490145683 10 3 0 0 3 2 3.5
102 120.778895231 31.5909425497 -1.09305155277 -0.0797582268715 10 3 0 0 3 2 3.5
103 120.778898562 31.5909389928 -1.05374956131 -0.0787333846092 10 3 0 0 3 2 3.5
104 120.778902227 31.5909354107 -1.01273560524 -0.0760221406817 10 3 0 0 3 2 3.5
105 120.778906043 31.5909319977 -0.972157597542 -0.0825396925211 10 3 0 0 3 2 3.5
106 120.778909839 31.5909288131 -0.933046638966 -0.0809385925531 10 3 0 0 3 2 3.5
107 120.778913782 31.5909257698 -0.893309593201 -0.0847105979919 10 3 0 0 3 2 3.5
108 120.778917885 31.590922901 -0.852788627148 -0.0829163715243 10 3 0 0 3 2 3.5
109 120.778922238 31.5909201064 -0.810873627663 -0.0793998390436 10 3 0 0 3 2 3.5
110 120.778926847 31.5909173786 -0.768006622791 -0.0805532261729 10 3 0 0 3 2 3.5
111 120.778931579 31.5909148389 -0.724898636341 -0.0805180817843 10 3 0 0 3 2 3.5
112 120.778936377 31.5909125315 -0.682663619518 -0.0835659727454 10 3 0 0 3 2 3.5
113 120.778941254 31.5909103949 -0.639862596989 -0.0889345631003 10 3 0 0 3 2 3.5
114 120.778946199 31.590908492 -0.596129596233 -0.0850694477558 10 3 0 0 3 2 3.5
115 120.778951331 31.5909067411 -0.551409602165 -0.0852998495102 10 3 0 0 3 2 3.5
116 120.778956307 31.590905254 -0.509190618992 -0.0896174460649 10 3 0 0 3 2 3.5
117 120.778961597 31.5909038796 -0.465075612068 -0.0827424675226 10 3 0 0 3 2 3.5
118 120.778966716 31.5909027711 -0.422841608524 -0.0871275439858 10 3 0 0 3 2 3.5
119 120.778971947 31.5909018007 -0.380653619766 -0.0856435149908 10 3 0 0 3 2 3.5
120 120.778977431 31.5909010009 -0.337045609951 -0.0865131169558 10 3 0 0 3 2 3.5
121 120.77898281 31.5909003984 -0.294397622347 -0.0813699141145 10 3 0 0 3 2 3.5
122 120.778988291 31.590899978 -0.252260625362 -0.0763360187411 10 3 0 0 3 2 3.5
123 120.778993598 31.5908997447 -0.212204605341 -0.0771384611726 10 3 0 0 3 2 3.5
124 120.778998939 31.5908996794 -0.172693610191 -0.0816212296486 10 3 0 0 3 2 3.5
125 120.779004507 31.5908998021 -0.131137609482 -0.0730855315924 10 3 0 0 3 2 3.5
126 120.779009963 31.5909001277 -0.0909256115556 -0.0818233191967 10 3 0 0 3 2 3.5
127 120.779015403 31.5909006574 -0.0506356135011 -0.0793402791023 10 3 0 0 3 2 3.5
128 120.779020981 31.5909014174 -0.00885361153632 -0.0801334157586 10 3 0 0 3 2 3.5
129 120.779026379 31.5909023467 0.0326413884759 -0.0826227292419 10 3 0 0 3 2 3.5
130 120.779031721 31.590903483 0.0740523859858 -0.0804471746087 10 3 0 0 3 2 3.5
131 120.779036949 31.5909047943 0.114953391254 -0.0809703916311 10 3 0 0 3 2 3.5
132 120.779042219 31.5909063204 0.157160386443 -0.0827347785235 10 3 0 0 3 2 3.5
133 120.779047207 31.5909079426 0.197104394436 -0.0795437097549 10 3 0 0 3 2 3.5
134 120.779052312 31.5909098416 0.238903388381 -0.0803776755929 10 3 0 0 3 2 3.5
135 120.779057166 31.5909118236 0.279098391533 -0.0795537680388 10 3 0 0 3 2 3.5
136 120.779062089 31.5909140169 0.31878939271 -0.077107720077 10 3 0 0 3 2 3.5
137 120.779066934 31.5909163774 0.358334392309 -0.0778803378344 10 3 0 0 3 2 3.5
138 120.779071537 31.5909188499 0.397155374289 -0.0783209949732 10 3 0 0 3 2 3.5
139 120.779075936 31.5909214143 0.434704393148 -0.0804006904364 10 3 0 0 3 2 3.5
140 120.779080288 31.5909241418 0.472704380751 -0.076976954937 10 3 0 0 3 2 3.5
141 120.779084575 31.5909270596 0.511531412601 -0.070555254817 10 3 0 0 3 2 3.5
142 120.779088662 31.5909300882 0.549613416195 -0.0740475729108 10 3 0 0 3 2 3.5
143 120.779092586 31.5909331877 0.587060391903 -0.0729071348906 10 3 0 0 3 2 3.5
144 120.779096435 31.5909365246 0.627087414265 -0.0789130851626 10 3 0 0 3 2 3.5
145 120.779100066 31.5909399742 0.668842375278 -0.0903999134898 10 3 0 0 3 2 3.5
146 120.779103401 31.590943533 0.71131837368 -0.086603589356 10 3 0 0 3 2 3.5
147 120.779106595 31.5909472677 0.755371391773 -0.0912618860602 10 3 0 0 3 2 3.5
148 120.779109634 31.5909511961 0.801513373852 -0.0878057107329 10 3 0 0 3 2 3.5
149 120.779112411 31.590955196 0.847314417362 -0.0875831618905 10 3 0 0 3 2 3.5
150 120.779114963 31.5909592145 0.891611397266 -0.0905274450779 10 3 0 0 3 2 3.5
151 120.779117356 31.590963379 0.934993386269 -0.0898981466889 10 3 0 0 3 2 3.5
152 120.779119587 31.5909676569 0.978618383408 -0.0886703431606 10 3 0 0 3 2 3.5
153 120.779121507 31.590971877 1.02065443993 -0.0859582275152 10 3 0 0 3 2 3.5
154 120.779123269 31.5909762928 1.06455135345 -0.0889519900083 10 3 0 0 3 2 3.5
155 120.779124781 31.5909806914 1.10746443272 -0.0869939401746 10 3 0 0 3 2 3.5
156 120.779126127 31.5909853732 1.15251636505 -0.0824890658259 10 3 0 0 3 2 3.5
157 120.779127193 31.5909898468 1.19500637054 -0.0826369374991 10 3 0 0 3 2 3.5
158 120.77912804 31.5909944505 1.23818433285 -0.0849964544177 10 3 0 0 3 2 3.5
159 120.779128634 31.5909990109 1.28078138828 -0.0890028700232 10 3 0 0 3 2 3.5
160 120.779129015 31.5910037892 1.32625234127 -0.0875444859266 10 3 0 0 3 2 3.5
161 120.779129112 31.5910083263 1.3703763485 -0.087451659143 10 3 0 0 3 2 3.5
162 120.77912896 31.591012905 1.41511237621 -0.088104724884 10 3 0 0 3 2 3.5
163 120.779128529 31.5910175839 1.46138644218 -0.089868105948 10 3 0 0 3 2 3.5
164 120.779127864 31.591022097 1.50621342659 -0.0918664485216 10 3 0 0 3 2 3.5
165 120.779126996 31.5910265916 1.55137038231 -0.0866031199694 10 3 0 0 3 2 3.5
166 120.779125873 31.5910310364 1.59633934498 -0.093373529613 10 3 0 0 3 2 3.5
167 120.779124501 31.5910354977 1.64128339291 -0.086300842464 10 3 0 0 3 2 3.5
168 120.779122838 31.5910400122 1.68652939796 -0.085756033659 10 3 0 0 3 2 3.5
169 120.779121032 31.5910442492 1.7307523489 -0.0919985920191 10 3 0 0 3 2 3.5
170 120.779118978 31.5910484746 1.7765853405 -0.0951403900981 10 3 0 0 3 2 3.5
171 120.779116539 31.5910526945 1.82722842693 -0.102955192328 10 3 0 0 3 2 3.5
172 120.77911387 31.5910566583 1.87740838528 -0.103720530868 10 3 0 0 3 2 3.5
173 120.779110962 31.5910605399 1.92856240273 -0.105696201324 10 3 0 0 3 2 3.5
174 120.779107762 31.5910643137 1.98086738586 -0.10146792978 10 3 0 0 3 2 3.5
175 120.779104393 31.5910678814 2.03315544128 -0.108567081392 10 3 0 0 3 2 3.5
176 120.77910075 31.5910712961 2.08738136292 -0.105373106897 10 3 0 0 3 2 3.5
177 120.779096886 31.5910745471 2.14188528061 -0.111080221832 10 3 0 0 3 2 3.5
178 120.779092915 31.5910775497 2.19519948959 -0.109418846667 10 3 0 0 3 2 3.5
179 120.779088632 31.5910804865 2.24960637093 -0.107306271791 10 3 0 0 3 2 3.5
180 120.779084241 31.5910833052 2.2995634079 -0.0933830812573 10 3 0 0 3 2 3.5
181 120.779079776 31.5910860239 2.34363937378 -0.0773735940456 10 3 0 0 3 2 3.5
182 120.779075466 31.5910886425 2.37693142891 -0.0582809969783 10 3 0 0 3 2 3.5
183 120.779071083 31.5910913953 2.40050935745 -0.0323486439884 10 3 0 0 3 2 3.5
184 120.779066841 31.5910942601 2.41200327873 -0.00858483929187 10 3 0 0 3 2 3.5
185 120.779062774 31.5910972459 2.4126393795 0.0037821426522 10 3 0 0 3 2 3.5
186 120.77905862 31.5911003805 2.41064143181 0.0055261622183 10 3 0 0 3 2 3.5
187 120.779054367 31.5911036365 2.40598750114 0.0111382836476 10 3 0 0 3 2 3.5
188 120.779050198 31.5911069166 2.39894628525 0.0168337915093 10 3 0 0 3 2 3.5
189 120.779046087 31.5911101919 2.39178347588 0.0150828938931 10 3 0 0 3 2 3.5
190 120.779042234 31.5911132923 2.38535237312 0.0159540567547 10 3 0 0 3 2 3.5
191 120.779038279 31.5911164776 2.37877631187 0.011265466921 10 3 0 0 3 2 3.5
192 120.779034229 31.5911197471 2.37359547615 0.00829496048391 10 3 0 0 3 2 3.5
193 120.779030272 31.591122945 2.36916136742 0.00824603345245 10 3 0 0 3 2 3.5
194 120.779026079 31.5911263598 2.36437034607 0.0118469614536 10 3 0 0 3 2 3.5
195 120.779022226 31.5911295315 2.35851240158 0.0106291146949 10 3 0 0 3 2 3.5
196 120.77901831 31.5911327198 2.35621237755 0.00369675364345 10 3 0 0 3 2 3.5
197 120.779014298 31.591135836 2.35991239548 -0.0112701216713 10 3 0 0 3 2 3.5
198 120.779010174 31.5911388223 2.36949038506 -0.0226545184851 10 3 0 0 3 2 3.5
199 120.779005751 31.5911418289 2.38390445709 -0.0271783918142 10 3 0 0 3 2 3.5
200 120.779001479 31.5911446082 2.39883136749 -0.0299177784473 10 3 0 0 3 2 3.5
201 120.77899719 31.5911473306 2.41362047195 -0.0287997107953 10 3 0 0 3 2 3.5
202 120.77899287 31.5911499787 2.42831540108 -0.0252927802503 10 3 0 0 3 2 3.5
203 120.778988183 31.5911528878 2.44015932083 -0.0156256072223 10 3 0 0 3 2 3.5
204 120.77898364 31.5911558659 2.44482541084 -0.00436385208741 10 3 0 0 3 2 3.5
205 120.778979384 31.5911587359 2.44631528854 -0.00407357001677 10 3 0 0 3 2 3.5
206 120.778974952 31.5911617251 2.44738841057 -0.00144665886182 10 3 0 0 3 2 3.5
207 120.778970514 31.5911647334 2.44806742668 -0.00073737301864 10 3 0 0 3 2 3.5
208 120.778966055 31.5911677596 2.44815135002 -0.00334221986122 10 3 0 0 3 2 3.5
209 120.778961581 31.5911708191 2.44738340378 0.0049696774222 10 3 0 0 3 2 3.5
210 120.778957298 31.5911737913 2.44509935379 0.00467061251402 10 3 0 0 3 2 3.5
211 120.778953237 31.591176684 2.44023728371 0.0100154047832 10 3 0 0 3 2 3.5
212 120.778949176 31.5911796199 2.43460941315 0.0151275424287 10 3 0 0 3 2 3.5
213 120.778945147 31.5911826306 2.42733931541 0.0163923837244 10 3 0 0 3 2 3.5
214 120.778941113 31.591185723 2.41815233231 0.0213483925909 10 3 0 0 3 2 3.5
215 120.778937128 31.5911889122 2.40695929527 0.0236587952822 10 3 0 0 3 2 3.5
216 120.778932974 31.5911923477 2.39291834831 0.0252106487751 10 3 0 0 3 2 3.5
217 120.778929033 31.5911957031 2.37949633598 0.0284027326852 10 3 0 0 3 2 3.5
218 120.7789251 31.5911991519 2.36596250534 0.025429777801 10 3 0 0 3 2 3.5
219 120.778921156 31.5912027054 2.35145735741 0.0254917368293 10 3 0 0 3 2 3.5
220 120.778917193 31.5912063836 2.33660030365 0.0288013406098 10 3 0 0 3 2 3.5
221 120.778913617 31.5912097963 2.32334327698 0.0240325536579 10 3 0 0 3 2 3.5
222 120.77890981 31.5912135059 2.30930328369 0.0243840068579 10 3 0 0 3 2 3.5
223 120.778906168 31.591217128 2.29615950584 0.0251340214163 10 3 0 0 3 2 3.5
224 120.778902523 31.5912208493 2.28264737129 0.0216504130513 10 3 0 0 3 2 3.5
225 120.771577133 31.5933964625 0.203137382865 -0.129803642631 10 3 0 0 0 1 3.0
226 120.771582273 31.5933975212 0.202486380935 -0.00226978585124 10 3 0 0 0 1 3.0
227 120.771587642 31.5933985454 0.200793385506 0.00670990720391 10 3 0 0 0 1 3.0
228 120.771592998 31.5933994861 0.196723386645 0.00597748393193 10 3 0 0 0 1 3.0
229 120.771598518 31.5934004336 0.191289395094 0.00572729948908 10 3 0 0 0 1 3.0
230 120.771603799 31.5934012994 0.18578338623 0.00756527250633 10 3 0 0 0 1 3.0
231 120.771609126 31.5934021386 0.180707395077 0.0107777165249 10 3 0 0 0 1 3.0
232 120.771614432 31.5934029658 0.176027387381 0.0108047872782 10 3 0 0 0 1 3.0
233 120.771619955 31.5934037715 0.170520395041 0.0114983711392 10 3 0 0 0 1 3.0
234 120.771625673 31.5934046324 0.16529738903 0.0118933338672 10 3 0 0 0 1 3.0
235 120.771631066 31.5934054101 0.160893380642 0.00828941911459 10 3 0 0 0 1 3.0
236 120.771636353 31.5934061292 0.155896395445 0.0106709077954 10 3 0 0 0 1 3.0
237 120.771642085 31.5934069105 0.151623383164 0.00810324307531 10 3 0 0 0 1 3.0
238 120.771647392 31.5934076329 0.147504389286 0.0065197320655 10 3 0 0 0 1 3.0
239 120.771652854 31.5934083509 0.143305391073 0.00799630768597 10 3 0 0 0 1 3.0
240 120.771658472 31.5934090673 0.13970439136 0.00792591366917 10 3 0 0 0 1 3.0
241 120.771664233 31.5934097704 0.135565385222 0.00836685299873 10 3 0 0 0 1 3.0
242 120.771670089 31.5934104819 0.130998387933 0.00899856351316 10 3 0 0 0 1 3.0
243 120.771675694 31.5934111509 0.12725238502 0.0075196265243 10 3 0 0 0 1 3.0
244 120.771681041 31.5934117894 0.123541384935 0.00565268285573 10 3 0 0 0 1 3.0
245 120.771686439 31.5934124021 0.120239384472 0.00900895148516 10 3 0 0 0 1 3.0
246 120.771691878 31.5934129926 0.116554386914 0.00823478866369 10 3 0 0 0 1 3.0
247 120.771697285 31.5934135998 0.113003388047 0.00628133863211 10 3 0 0 0 1 3.0
248 120.77170268 31.5934141726 0.108992390335 0.00783761125058 10 3 0 0 0 1 3.0
249 120.77170805 31.5934147108 0.105395391583 0.00645257765427 10 3 0 0 0 1 3.0
250 120.771713729 31.5934152735 0.101791389287 0.00498234946281 10 3 0 0 0 1 3.0
251 120.771719048 31.5934157942 0.0983323901892 0.00811997428536 10 3 0 0 0 1 3.0
252 120.77172435 31.5934162993 0.0952743887901 0.00532938633114 10 3 0 0 0 1 3.0
253 120.771729627 31.5934167389 0.0918563902378 0.0083217760548 10 3 0 0 0 1 3.0
254 120.771734887 31.5934172037 0.0896853879094 0.00355869019404 10 3 0 0 0 1 3.0
255 120.77174078 31.5934177061 0.0867193862796 0.00389034603722 10 3 0 0 0 1 3.0
256 120.771746631 31.5934182164 0.0845353901386 0.00488674314693 10 3 0 0 0 1 3.0
257 120.771752163 31.5934187263 0.0833363905549 0.00167409656569 10 3 0 0 0 1 3.0
258 120.771758017 31.5934192249 0.0819243863225 0.00251968344674 10 3 0 0 0 1 3.0
259 120.771763865 31.5934197644 0.0810763910413 0.00303009734489 10 3 0 0 0 1 3.0
260 120.771769749 31.5934203004 0.0811633914709 -0.00345472618937 10 3 0 0 0 1 3.0
261 120.771774984 31.5934208048 0.0820133909583 -0.00118847668637 10 3 0 0 0 1 3.0
262 120.771780253 31.5934213017 0.0832683891058 -0.00295590865426 10 3 0 0 0 1 3.0
263 120.771785897 31.593421867 0.0851283892989 -0.00445835152641 10 3 0 0 0 1 3.0
264 120.771791253 31.5934224087 0.0880973860621 -0.00654373085126 10 3 0 0 0 1 3.0
265 120.771796624 31.5934230171 0.0919143855572 -0.00739546539262 10 3 0 0 0 1 3.0
266 120.77180202 31.5934236638 0.0971213877201 -0.0111419847235 10 3 0 0 0 1 3.0
267 120.771807436 31.5934243298 0.102468386292 -0.0101619893685 10 3 0 0 0 1 3.0
268 120.771812885 31.5934250454 0.109667390585 -0.0163605175912 10 3 0 0 0 1 3.0
269 120.771818324 31.5934258761 0.117669388652 -0.017338719219 10 3 0 0 0 1 3.0
270 120.771824093 31.5934268306 0.128534391522 -0.0187870729715 10 3 0 0 0 1 3.0
271 120.771829512 31.5934277776 0.139413386583 -0.0255408417434 10 3 0 0 0 1 3.0
272 120.771834903 31.5934288371 0.152267381549 -0.0238923784345 10 3 0 0 0 1 3.0
273 120.771840268 31.593429927 0.1638173908 -0.0243220124394 10 3 0 0 0 1 3.0
